DNI,Nom,Cognoms,Nombre_completo,País d'origen,Nacionalidad_esp,Ciutat,Fecha_de_nacimiento,Dia,Mes,Año,Edad,Gènere,Fills,Grup Professional,Salari mensual,Increment,Salario_incrementado
25439397A,Pau,Ferrer García,Pau Ferrer García,Espanya,Sí,Barcelona,1982-03-21,21,3,1982,44,Home,No,Grup B,1270.0,0.035,1314.4499999999998
89577876S,Emily,Taylor Jones,Emily Taylor Jones,Regne Unit,No,Manchester,1958-03-28,28,3,1958,68,Dona,No,Grup B,2033.0,0.035,2104.1549999999997
76782023V,Anna,Castells García,Anna Castells García,Espanya,Sí,Bilbao,1950-03-26,26,3,1950,76,Dona,Sí,Grup B,1465.0,0.035,1516.2749999999999
87154578D,Toni,Martínez,Toni Martínez,Espanya,Sí,Bilbao,1973-07-05,5,7,1973,52,Home,Sí,Grup B,1643.0,0.035,1700.5049999999999
19721783S,Núria,Ferrer,Núria Ferrer,Espanya,Sí,Barcelona,1983-12-07,7,12,1983,42,Dona,No,Grup B,1964.0,0.035,2032.7399999999998
87257820C,Marta,García,Marta García,Espanya,Sí,València,1976-05-14,14,5,1976,50,Dona,No,Grup B,1582.0,0.035,1637.37
62035858J,Sara,Castro,Sara Castro,Colòmbia,No,Bogotà,1974-12-04,4,12,1974,51,Dona,Sí,Grup B,1524.0,0.035,1577.34
97143963K,Chiara,Russo Conti,Chiara Russo Conti,Itàlia,No,Roma,1985-11-06,6,11,1985,40,Altres,Sí,Grup B,1441.0,0.035,1491.435
39929911E,Eva,Castells Romero,Eva Castells Romero,Espanya,Sí,Madrid,1958-01-24,24,1,1958,68,Altres,No,Grup B,1908.0,0.035,1974.7799999999997
36717144Q,Jordi,Romero,Jordi Romero,Espanya,Sí,Bilbao,1969-11-17,17,11,1969,56,Home,No,Grup B,1358.0,0.035,1405.53
44505750Y,Gabriela,Ramírez González,Gabriela Ramírez González,Mèxic,No,Ciutat de Mèxic,1988-03-26,26,3,1988,38,Dona,No,Grup B,1220.0,0.035,1262.6999999999998
89141927S,Eva,Ferrer Ferrer,Eva Ferrer Ferrer,Espanya,Sí,València,1979-12-24,24,12,1979,46,Dona,No,Grup B,1587.0,0.035,1642.5449999999998
15336274M,Laia,López Sánchez,Laia López Sánchez,Espanya,Sí,Barcelona,1964-05-11,11,5,1964,62,Dona,No,Grup B,2090.0,0.035,2163.1499999999996
11062448Q,Marta,Martínez,Marta Martínez,Espanya,Sí,Barcelona,1980-07-04,4,7,1980,45,Dona,Sí,Grup B,1660.0,0.035,1718.1
31675368R,Eva,López Martínez,Eva López Martínez,Espanya,Sí,Bilbao,1998-07-27,27,7,1998,27,Dona,No,Grup B,1334.0,0.035,1380.6899999999998
89450981Z,Laia,Castells,Laia Castells,Espanya,Sí,Bilbao,2000-11-20,20,11,2000,25,Dona,Sí,Grup B,1698.0,0.035,1757.4299999999998
54853635H,Laia,Castells Ferrer,Laia Castells Ferrer,Espanya,Sí,Sevilla,1986-06-23,23,6,1986,39,Dona,Sí,Grup B,1178.0,0.035,1219.23
81398413Q,Laura,Castro Torres,Laura Castro Torres,Colòmbia,No,Medellín,1997-06-06,6,6,1997,28,Dona,No,Grup B,1438.0,0.035,1488.33
57692936L,Laura,Schmidt,Laura Schmidt,Alemanya,No,Hamburg,1956-05-03,3,5,1956,70,,Sí,Grup B,1828.0,0.035,1891.9799999999998
17135791L,Toni,Romero García,Toni Romero García,Espanya,Sí,Barcelona,1963-06-12,12,6,1963,62,Home,No,Grup B,1598.0,0.035,1653.9299999999998
13357124H,Arnau,Martínez Martínez,Arnau Martínez Martínez,Espanya,Sí,Sevilla,1960-12-06,6,12,1960,65,Home,No,Grup B,1789.0,0.035,1851.6149999999998
53653173V,Anna,López,Anna López,Espanya,Sí,Madrid,1964-01-17,17,1,1964,62,Altres,No,Grup B,1303.0,0.035,1348.6049999999998
15138029Q,Marc,Castells,Marc Castells,Espanya,Sí,Bilbao,2002-12-16,16,12,2002,23,Home,No,Grup B,2132.0,0.035,2206.62
53822006D,Ali,El Amrani El Amrani,Ali El Amrani El Amrani,Marroc,No,Rabat,1971-05-04,4,5,1971,55,Home,No,Grup B,2127.0,0.035,2201.4449999999997
18876694Z,Juan,Álvarez Fernández,Juan Álvarez Fernández,Argentina,No,Buenos Aires,1991-08-11,11,8,1991,34,Home,Sí,Grup B,1412.0,0.035,1461.4199999999998
78668978W,Pau,Sánchez,Pau Sánchez,Espanya,Sí,Bilbao,1994-05-20,20,5,1994,31,Home,Sí,Grup B,2176.0,0.035,2252.16
51927396G,Maria,Pereira Pereira,Maria Pereira Pereira,Portugal,No,Porto,1980-06-19,19,6,1980,45,Dona,No,Grup B,1672.0,0.035,1730.5199999999998
49846108N,Joan,Romero López,Joan Romero López,Espanya,Sí,Barcelona,1950-01-11,11,1,1950,76,Home,Sí,Grup B,1982.0,0.035,2051.37
46129359E,Laia,Castells Martínez,Laia Castells Martínez,Espanya,Sí,Madrid,1975-04-08,8,4,1975,51,Dona,No,Grup B,1442.0,0.035,1492.4699999999998
19814204M,Marta,García,Marta García,Espanya,Sí,Bilbao,1999-02-23,23,2,1999,27,Dona,Sí,Grup B,1580.0,0.035,1635.3
46035899S,Marc,Romero,Marc Romero,Espanya,Sí,Sevilla,1975-11-02,2,11,1975,50,Home,No,Grup B,1569.0,0.035,1623.915
38832908L,Arnau,Martínez,Arnau Martínez,Espanya,Sí,Madrid,1999-12-20,20,12,1999,26,Home,No,Grup B,2100.0,0.035,2173.5
11156851X,Carla,Sánchez,Carla Sánchez,Espanya,Sí,València,1975-08-17,17,8,1975,50,Dona,Sí,Grup B,1508.0,0.035,1560.78
61239482R,Eva,López Sánchez,Eva López Sánchez,Espanya,Sí,València,1987-04-25,25,4,1987,39,Dona,No,Grup B,2086.0,0.035,2159.0099999999998
71461971W,Lucas,Álvarez,Lucas Álvarez,Argentina,No,Buenos Aires,1984-03-22,22,3,1984,42,Home,No,Grup B,1670.0,0.035,1728.4499999999998
31958336Z,Núria,Martínez Castells,Núria Martínez Castells,Espanya,Sí,Sevilla,1962-12-08,8,12,1962,63,Dona,No,Grup B,1300.0,0.035,1345.5
19508494Q,Jonas,Schneider Schmidt,Jonas Schneider Schmidt,Alemanya,No,Hamburg,1983-08-15,15,8,1983,42,Home,Sí,Grup B,1476.0,0.035,1527.6599999999999
32873655H,Pau,Martínez García,Pau Martínez García,Espanya,Sí,Barcelona,1989-11-15,15,11,1989,36,Home,No,Grup B,2254.0,0.035,2332.89
74293523P,Sofia,Oliveira,Sofia Oliveira,Portugal,No,Lisboa,1998-04-02,2,4,1998,28,Dona,No,Grup B,2006.0,0.035,2076.21
49127195L,Beatriz,Ferreira,Beatriz Ferreira,Portugal,No,Porto,1950-05-11,11,5,1950,76,Altres,Sí,Grup B,1574.0,0.035,1629.09
17792481K,Joan,Romero Martínez,Joan Romero Martínez,Espanya,Sí,Bilbao,1996-02-16,16,2,1996,30,Home,No,Grup B,1849.0,0.035,1913.715
81156988L,Miguel,González Cruz,Miguel González Cruz,Mèxic,No,Ciutat de Mèxic,1965-08-07,7,8,1965,60,Home,No,Grup B,2051.0,0.035,2122.785
60352406T,Eva,Martínez,Eva Martínez,Espanya,Sí,Madrid,1994-06-13,13,6,1994,31,Dona,No,Grup B,1149.0,0.035,1189.215
66192865D,Carla,Romero,Carla Romero,Espanya,Sí,Barcelona,1998-06-17,17,6,1998,27,Dona,Sí,Grup B,1785.0,0.035,1847.475
82495492K,Jordi,García Castells,Jordi García Castells,Espanya,Sí,València,1970-07-04,4,7,1970,55,Home,Sí,Grup B,1848.0,0.035,1912.6799999999998
77255461X,Maria,Ferreira Ferreira,Maria Ferreira Ferreira,Portugal,No,Porto,1996-03-04,4,3,1996,30,Dona,Sí,Grup B,1896.0,0.035,1962.36
50017849P,Núria,Martínez,Núria Martínez,Espanya,Sí,València,1958-09-26,26,9,1958,67,Dona,No,Grup B,1912.0,0.035,1978.9199999999998
14532429J,Jean,Dubois Moreau,Jean Dubois Moreau,França,No,Marsella,1967-12-07,7,12,1967,58,Home,No,Grup B,1941.0,0.035,2008.935
48928716V,Eva,Ferrer,Eva Ferrer,Espanya,Sí,Madrid,1997-05-22,22,5,1997,28,Dona,No,Grup B,1226.0,0.035,1268.9099999999999
20554785E,Andrés,González,Andrés González,Mèxic,No,Guadalajara,1977-10-13,13,10,1977,48,Home,No,Grup B,1734.0,0.035,1794.6899999999998
96850216C,Valentina,Gutiérrez Rojas,Valentina Gutiérrez Rojas,Colòmbia,No,Medellín,1959-10-02,2,10,1959,66,Dona,Sí,Grup B,1728.0,0.035,1788.4799999999998
21123762J,Toni,Sánchez Sánchez,Toni Sánchez Sánchez,Espanya,Sí,València,1989-01-20,20,1,1989,37,Home,No,Grup B,2293.0,0.035,2373.2549999999997
87203712F,Arnau,Martínez Sánchez,Arnau Martínez Sánchez,Espanya,Sí,Barcelona,1971-06-20,20,6,1971,54,Home,No,Grup B,1373.0,0.035,1421.0549999999998
94864855F,Toni,Sánchez,Toni Sánchez,Espanya,Sí,Madrid,1996-03-06,6,3,1996,30,Home,No,Grup B,2052.0,0.035,2123.8199999999997
83942911L,Oriol,Romero López,Oriol Romero López,Espanya,Sí,Bilbao,1951-05-03,3,5,1951,75,Home,No,Grup B,2046.0,0.035,2117.6099999999997
49962478C,Sofia,Silva Oliveira,Sofia Silva Oliveira,Portugal,No,Lisboa,1977-08-13,13,8,1977,48,,No,Grup B,1449.0,0.035,1499.715
49561814F,Tomás,Gómez,Tomás Gómez,Argentina,No,Buenos Aires,1972-10-03,3,10,1972,53,Home,No,Grup B,1456.0,0.035,1506.9599999999998
41288932T,Carla,Castells,Carla Castells,Espanya,Sí,Barcelona,1962-10-24,24,10,1962,63,Dona,Sí,Grup B,1248.0,0.035,1291.6799999999998
54906134P,Laia,López,Laia López,Espanya,Sí,Madrid,1978-10-15,15,10,1978,47,Dona,Sí,Grup B,1447.0,0.035,1497.645
42177426S,Giovanni,Ferrari,Giovanni Ferrari,Itàlia,No,Torí,1964-02-08,8,2,1964,62,Home,No,Grup B,1468.0,0.035,1519.3799999999999
70317853J,Núria,Romero,Núria Romero,Espanya,Sí,Barcelona,1970-12-24,24,12,1970,55,Dona,No,Grup B,1939.0,0.035,2006.8649999999998
48918423X,Arnau,Ferrer Romero,Arnau Ferrer Romero,Espanya,Sí,Madrid,1975-07-02,2,7,1975,50,Home,No,Grup B,2196.0,0.035,2272.8599999999997
58423324H,Núria,Castells Ferrer,Núria Castells Ferrer,Espanya,Sí,Sevilla,2005-10-13,13,10,2005,20,Dona,No,Grup B,2058.0,0.035,2130.0299999999997
30532432L,Matías,Rodríguez Gómez,Matías Rodríguez Gómez,Argentina,No,Buenos Aires,1957-09-28,28,9,1957,68,Home,Sí,Grup B,1463.0,0.035,1514.205
25178167X,Laia,Sánchez,Laia Sánchez,Espanya,Sí,Barcelona,1965-01-27,27,1,1965,61,Dona,Sí,Grup B,1876.0,0.035,1941.6599999999999
19039929Q,Matías,Álvarez,Matías Álvarez,Argentina,No,Còrdova,1954-08-24,24,8,1954,71,Home,Sí,Grup B,1686.0,0.035,1745.0099999999998
73118029L,Florencia,Gómez Fernández,Florencia Gómez Fernández,Argentina,No,Còrdova,1992-07-12,12,7,1992,33,Dona,No,Grup B,1245.0,0.035,1288.5749999999998
65314666K,Marta,Sánchez Romero,Marta Sánchez Romero,Espanya,Sí,Barcelona,1993-06-05,5,6,1993,32,Dona,No,Grup B,1320.0,0.035,1366.1999999999998
98834273R,Pau,Romero Martínez,Pau Romero Martínez,Espanya,Sí,Barcelona,1974-09-16,16,9,1974,51,Home,No,Grup B,1753.0,0.035,1814.3549999999998
97687146Q,Gabriela,González Cruz,Gabriela González Cruz,Mèxic,No,Ciutat de Mèxic,1985-02-20,20,2,1985,41,,No,Grup B,1583.0,0.035,1638.405
90364828E,Laia,Castells,Laia Castells,Espanya,Sí,Bilbao,1998-04-23,23,4,1998,28,Dona,Sí,Grup B,1788.0,0.035,1850.58
16082109P,Clara,López,Clara López,Espanya,Sí,Madrid,1989-05-12,12,5,1989,37,Dona,No,Grup B,1400.0,0.035,1449.0
26631271T,Laia,Sánchez,Laia Sánchez,Espanya,Sí,Bilbao,1970-05-19,19,5,1970,55,Altres,Sí,Grup B,1987.0,0.035,2056.5449999999996
73326255V,João,Silva,João Silva,Portugal,No,Porto,1970-10-23,23,10,1970,55,Home,Sí,Grup B,1984.0,0.035,2053.44
83613978F,Antoine,Lefevre Girard,Antoine Lefevre Girard,França,No,Marsella,1981-12-22,22,12,1981,44,Home,Sí,Grup B,1620.0,0.035,1676.6999999999998
51525932J,Michel,Moreau,Michel Moreau,França,No,Marsella,1978-06-27,27,6,1978,47,Home,Sí,Grup B,2085.0,0.035,2157.975
44026048T,Joan,López,Joan López,Espanya,Sí,València,1982-10-15,15,10,1982,43,Home,No,Grup B,2290.0,0.035,2370.1499999999996
43409433Y,Marta,López López,Marta López López,Espanya,Sí,Sevilla,1986-02-24,24,2,1986,40,Dona,No,Grup B,1292.0,0.035,1337.2199999999998
32095971T,Laia,López López,Laia López López,Espanya,Sí,València,1962-05-08,8,5,1962,64,Dona,Sí,Grup B,1238.0,0.035,1281.33
82936531F,Pau,López Martínez,Pau López Martínez,Espanya,Sí,Sevilla,1958-12-17,17,12,1958,67,Home,No,Grup B,1409.0,0.035,1458.3149999999998
20049413F,Eva,López Ferrer,Eva López Ferrer,Espanya,Sí,Bilbao,1952-12-24,24,12,1952,73,Dona,No,Grup B,2016.0,0.035,2086.56
47702024A,Clara,García Ferrer,Clara García Ferrer,Espanya,Sí,Barcelona,1956-10-10,10,10,1956,69,Dona,No,Grup B,1986.0,0.035,2055.5099999999998
47853239E,Núria,López,Núria López,Espanya,Sí,Sevilla,1969-04-14,14,4,1969,57,Dona,No,Grup B,1786.0,0.035,1848.5099999999998
73130661B,Clara,Martínez Romero,Clara Martínez Romero,Espanya,Sí,València,1975-10-01,1,10,1975,50,Dona,Sí,Grup B,1978.0,0.035,2047.2299999999998
93384627N,Camille,Moreau Moreau,Camille Moreau Moreau,França,No,Lió,1993-07-16,16,7,1993,32,Dona,No,Grup B,1962.0,0.035,2030.6699999999998
25490219L,William,Smith Smith,William Smith Smith,Regne Unit,No,Londres,1952-12-01,1,12,1952,73,Home,Sí,Grup B,1643.0,0.035,1700.5049999999999
41625678H,Arnau,Romero,Arnau Romero,Espanya,Sí,Bilbao,1967-11-18,18,11,1967,58,Home,No,Grup B,1696.0,0.035,1755.36
83262533Z,Jordi,Martínez Ferrer,Jordi Martínez Ferrer,Espanya,Sí,València,1950-06-17,17,6,1950,75,Home,Sí,Grup B,2281.0,0.035,2360.835
41326173T,Laia,Martínez,Laia Martínez,Espanya,Sí,Madrid,1977-09-09,9,9,1977,48,Dona,No,Grup B,2053.0,0.035,2124.855
81124534E,Oriol,Sánchez,Oriol Sánchez,Espanya,Sí,Sevilla,1969-04-01,1,4,1969,57,Home,No,Grup B,1423.0,0.035,1472.8049999999998
22914113G,Laia,Sánchez Sánchez,Laia Sánchez Sánchez,Espanya,Sí,València,1995-09-25,25,9,1995,30,,No,Grup B,1356.0,0.035,1403.4599999999998
43658248F,Daniela,Castro,Daniela Castro,Colòmbia,No,Bogotà,1980-03-09,9,3,1980,46,Dona,Sí,Grup B,1670.0,0.035,1728.4499999999998
15277702T,Toni,Castells,Toni Castells,Espanya,Sí,Bilbao,1966-07-25,25,7,1966,59,Home,No,Grup B,2132.0,0.035,2206.62
96925654W,Rui,Oliveira Silva,Rui Oliveira Silva,Portugal,No,Lisboa,1992-08-25,25,8,1992,33,Home,No,Grup B,1669.0,0.035,1727.415
65476112E,Marta,Romero Romero,Marta Romero Romero,Espanya,Sí,Sevilla,1991-09-24,24,9,1991,34,Dona,No,Grup B,1630.0,0.035,1687.05
87991679M,Anna,Ferrer,Anna Ferrer,Espanya,Sí,Barcelona,1967-11-25,25,11,1967,58,Dona,No,Grup B,1408.0,0.035,1457.28
67762046W,Chloé,Moreau,Chloé Moreau,França,No,Lió,1989-02-21,21,2,1989,37,Dona,No,Grup B,1441.0,0.035,1491.435
90958057L,Joan,Sánchez,Joan Sánchez,Espanya,Sí,Bilbao,1974-12-13,13,12,1974,51,Altres,No,Grup B,1817.0,0.035,1880.5949999999998
99565242W,Joan,Sánchez Sánchez,Joan Sánchez Sánchez,Espanya,Sí,Madrid,2005-07-28,28,7,2005,20,,No,Grup B,1432.0,0.035,1482.12
49176508C,Pau,García López,Pau García López,Espanya,Sí,Sevilla,1996-08-22,22,8,1996,29,Home,Sí,Grup B,1348.0,0.035,1395.1799999999998
20335877M,Arnau,García Ferrer,Arnau García Ferrer,Espanya,Sí,València,1951-01-20,20,1,1951,75,Home,No,Grup B,2045.0,0.035,2116.575
83539759S,Marta,López,Marta López,Espanya,Sí,Barcelona,2002-06-04,4,6,2002,23,Dona,Sí,Grup B,1170.0,0.035,1210.9499999999998
95031765F,Anna,López Sánchez,Anna López Sánchez,Espanya,Sí,Barcelona,1963-09-19,19,9,1963,62,Dona,Sí,Grup B,1444.0,0.035,1494.54
87757452L,Marc,Romero,Marc Romero,Espanya,Sí,Barcelona,1986-08-16,16,8,1986,39,Home,No,Grup B,1663.0,0.035,1721.205
44065719N,Pau,Ferrer Ferrer,Pau Ferrer Ferrer,Espanya,Sí,València,1991-11-09,9,11,1991,34,Home,Sí,Grup B,1396.0,0.035,1444.86
50496524Y,Alessia,Russo Russo,Alessia Russo Russo,Itàlia,No,Roma,1983-02-14,14,2,1983,43,Dona,No,Grup B,1358.0,0.035,1405.53
40194783Y,Núria,Sánchez García,Núria Sánchez García,Espanya,Sí,Madrid,1966-01-14,14,1,1966,60,Dona,Sí,Grup B,1959.0,0.035,2027.5649999999998
28196940Z,Michel,Moreau,Michel Moreau,França,No,Lió,1992-12-12,12,12,1992,33,Home,Sí,Grup B,2002.0,0.035,2072.0699999999997
98801519G,Jordi,García,Jordi García,Espanya,Sí,Bilbao,1970-01-11,11,1,1970,56,Home,Sí,Grup B,1698.0,0.035,1757.4299999999998
92775120P,Joan,López Castells,Joan López Castells,Espanya,Sí,Barcelona,1984-04-01,1,4,1984,42,,Sí,Grup B,1555.0,0.035,1609.425
58632182Z,Laia,Romero,Laia Romero,Espanya,Sí,Sevilla,1962-11-16,16,11,1962,63,Dona,Sí,Grup B,1211.0,0.035,1253.385
32149349F,Marta,Romero,Marta Romero,Espanya,Sí,Bilbao,1973-07-25,25,7,1973,52,Dona,No,Grup B,1824.0,0.035,1887.84
17088262F,Eva,Sánchez,Eva Sánchez,Espanya,Sí,València,1971-02-18,18,2,1971,55,Dona,No,Grup B,2087.0,0.035,2160.0449999999996
72513763X,Núria,Romero López,Núria Romero López,Espanya,Sí,Bilbao,1999-06-15,15,6,1999,26,,Sí,Grup B,1636.0,0.035,1693.2599999999998
24881645Q,Toni,Sánchez,Toni Sánchez,Espanya,Sí,Bilbao,1992-09-26,26,9,1992,33,Home,No,Grup B,1358.0,0.035,1405.53
63182449W,Jordi,Romero,Jordi Romero,Espanya,Sí,Barcelona,1950-12-12,12,12,1950,75,Home,Sí,Grup B,2253.0,0.035,2331.855
69079699D,Marc,Martínez,Marc Martínez,Espanya,Sí,Bilbao,1988-07-07,7,7,1988,37,Home,No,Grup B,1965.0,0.035,2033.7749999999999
90985453R,Pau,Ferrer,Pau Ferrer,Espanya,Sí,Madrid,1997-11-24,24,11,1997,28,Home,No,Grup B,2223.0,0.035,2300.805
11119181K,Arnau,Ferrer,Arnau Ferrer,Espanya,Sí,Bilbao,1961-05-20,20,5,1961,64,Home,No,Grup B,1345.0,0.035,1392.0749999999998
51235097D,Oriol,Martínez López,Oriol Martínez López,Espanya,Sí,Barcelona,1980-06-24,24,6,1980,45,Home,No,Grup B,2064.0,0.035,2136.24
23333032N,Oriol,Martínez,Oriol Martínez,Espanya,Sí,València,1986-12-21,21,12,1986,39,Home,No,Grup B,1765.0,0.035,1826.7749999999999
91233007A,Joan,García,Joan García,Espanya,Sí,Sevilla,2003-03-23,23,3,2003,23,,Sí,Grup B,1596.0,0.035,1651.86
55212704B,Pau,Martínez Romero,Pau Martínez Romero,Espanya,Sí,Barcelona,1986-07-26,26,7,1986,39,Home,No,Grup B,1739.0,0.035,1799.8649999999998
23763581C,Arnau,García Ferrer,Arnau García Ferrer,Espanya,Sí,Barcelona,1979-06-01,1,6,1979,46,Home,Sí,Grup B,1716.0,0.035,1776.06
75347458Q,Toni,Martínez,Toni Martínez,Espanya,Sí,Bilbao,1974-12-25,25,12,1974,51,Home,No,Grup B,1351.0,0.035,1398.2849999999999
54347378D,Giulia,Russo,Giulia Russo,Itàlia,No,Torí,2005-06-14,14,6,2005,20,Dona,Sí,Grup B,1399.0,0.035,1447.965
24140397D,Oriol,Sánchez,Oriol Sánchez,Espanya,Sí,Bilbao,1989-09-11,11,9,1989,36,Home,Sí,Grup B,2115.0,0.035,2189.0249999999996
89195587K,Carla,López Martínez,Carla López Martínez,Espanya,Sí,Madrid,1962-10-14,14,10,1962,63,Altres,No,Grup B,1549.0,0.035,1603.215
18457585L,Anna,Ferrer Sánchez,Anna Ferrer Sánchez,Espanya,Sí,Barcelona,1965-08-25,25,8,1965,60,,Sí,Grup B,1437.0,0.035,1487.2949999999998
12559305B,Núria,García Ferrer,Núria García Ferrer,Espanya,Sí,Bilbao,1982-04-11,11,4,1982,44,Dona,Sí,Grup B,1758.0,0.035,1819.53
29153728J,Joan,Romero García,Joan Romero García,Espanya,Sí,València,1956-03-04,4,3,1956,70,Home,No,Grup B,2216.0,0.035,2293.56
34370425H,Oriol,Ferrer,Oriol Ferrer,Espanya,Sí,Madrid,1974-04-02,2,4,1974,52,Home,Sí,Grup B,1324.0,0.035,1370.34
50261072D,Sophie,Taylor Smith,Sophie Taylor Smith,Regne Unit,No,Londres,2005-12-26,26,12,2005,20,Dona,No,Grup B,1663.0,0.035,1721.205
43414375Y,Joan,López,Joan López,Espanya,Sí,València,1995-03-28,28,3,1995,31,Home,No,Grup B,2152.0,0.035,2227.3199999999997
21977779F,Valentina,Torres Rojas,Valentina Torres Rojas,Colòmbia,No,Medellín,1957-10-22,22,10,1957,68,Dona,No,Grup B,1441.0,0.035,1491.435
20428037K,Anna,García,Anna García,Espanya,Sí,València,1976-11-22,22,11,1976,49,Dona,Sí,Grup B,1551.0,0.035,1605.2849999999999
95842086Q,Anna,López López,Anna López López,Espanya,Sí,València,1988-07-07,7,7,1988,37,Dona,Sí,Grup B,1329.0,0.035,1375.5149999999999
12935907W,Pau,Ferrer García,Pau Ferrer García,Espanya,Sí,Barcelona,1990-06-21,21,6,1990,35,Home,Sí,Grup B,1459.0,0.035,1510.0649999999998
23385179B,Florencia,Fernández,Florencia Fernández,Argentina,No,Còrdova,1979-10-14,14,10,1979,46,Dona,No,Grup B,1209.0,0.035,1251.3149999999998
56402346W,Carlos,Ramírez,Carlos Ramírez,Mèxic,No,Guadalajara,1959-03-21,21,3,1959,67,Home,Sí,Grup B,1465.0,0.035,1516.2749999999999
21159286B,Anna,García,Anna García,Espanya,Sí,Barcelona,1999-12-22,22,12,1999,26,Dona,No,Grup B,1501.0,0.035,1553.5349999999999
48597672J,Toni,Romero Romero,Toni Romero Romero,Espanya,Sí,Madrid,1984-02-15,15,2,1984,42,Altres,Sí,Grup B,1758.0,0.035,1819.53
86656444H,Salma,Zahraoui,Salma Zahraoui,Marroc,No,Casablanca,1999-04-18,18,4,1999,27,Dona,No,Grup B,1172.0,0.035,1213.02
46192881X,Eva,Martínez López,Eva Martínez López,Espanya,Sí,Barcelona,1958-04-11,11,4,1958,68,Dona,No,Grup B,1350.0,0.035,1397.25
85620401P,Rui,Silva Silva,Rui Silva Silva,Portugal,No,Lisboa,1958-05-06,6,5,1958,68,Home,No,Grup B,1267.0,0.035,1311.3449999999998
13600054Y,Carla,Romero,Carla Romero,Espanya,Sí,Madrid,1964-03-18,18,3,1964,62,Dona,Sí,Grup B,1678.0,0.035,1736.7299999999998
43630705N,Laia,Ferrer,Laia Ferrer,Espanya,Sí,Barcelona,1953-02-02,2,2,1953,73,Dona,Sí,Grup B,1393.0,0.035,1441.7549999999999
88020602R,Toni,Romero,Toni Romero,Espanya,Sí,Barcelona,2001-08-23,23,8,2001,24,Home,No,Grup B,2187.0,0.035,2263.5449999999996
47075714S,Marta,López,Marta López,Espanya,Sí,Madrid,1999-03-13,13,3,1999,27,Dona,No,Grup B,1186.0,0.035,1227.51
22942395H,Carla,Ferrer Martínez,Carla Ferrer Martínez,Espanya,Sí,València,1992-05-03,3,5,1992,34,Dona,No,Grup B,1714.0,0.035,1773.9899999999998
44074013Q,Toni,Sánchez,Toni Sánchez,Espanya,Sí,Madrid,1976-03-13,13,3,1976,50,,Sí,Grup B,1717.0,0.035,1777.0949999999998
25161375F,Marta,Ferrer Ferrer,Marta Ferrer Ferrer,Espanya,Sí,Sevilla,1951-06-01,1,6,1951,74,Dona,No,Grup B,1216.0,0.035,1258.56
